CELLCODE	EOFORIGIN	NOFORIGIN	geometry	natura2000	spa	habitat
1kmE3773N3189	3773000	3189000	list(c(3773000, 3773000, 3774000, 3774000, 3773000, 3189000, 3190000, 3190000, 3189000, 3189000))	FALSE	FALSE	FALSE
1kmE3773N3190	3773000	3190000	list(c(3773000, 3773000, 3774000, 3774000, 3773000, 3190000, 3191000, 3191000, 3190000, 3190000))	FALSE	FALSE	FALSE
1kmE3773N3191	3773000	3191000	list(c(3773000, 3773000, 3774000, 3774000, 3773000, 3191000, 3192000, 3192000, 3191000, 3191000))	FALSE	FALSE	FALSE
1kmE3773N3192	3773000	3192000	list(c(3773000, 3773000, 3774000, 3774000, 3773000, 3192000, 3193000, 3193000, 3192000, 3192000))	FALSE	FALSE	FALSE
1kmE3773N3193	3773000	3193000	list(c(3773000, 3773000, 3774000, 3774000, 3773000, 3193000, 3194000, 3194000, 3193000, 3193000))	FALSE	FALSE	FALSE
1kmE3773N3194	3773000	3194000	list(c(3773000, 3773000, 3774000, 3774000, 3773000, 3194000, 3195000, 3195000, 3194000, 3194000))	FALSE	FALSE	FALSE
1kmE3773N3195	3773000	3195000	list(c(3773000, 3773000, 3774000, 3774000, 3773000, 3195000, 3196000, 3196000, 3195000, 3195000))	FALSE	FALSE	FALSE
1kmE3773N3196	3773000	3196000	list(c(3773000, 3773000, 3774000, 3774000, 3773000, 3196000, 3197000, 3197000, 3196000, 3196000))	FALSE	FALSE	FALSE
1kmE3773N3197	3773000	3197000	list(c(3773000, 3773000, 3774000, 3774000, 3773000, 3197000, 3198000, 3198000, 3197000, 3197000))	FALSE	FALSE	FALSE
1kmE3773N3198	3773000	3198000	list(c(3773000, 3773000, 3774000, 3774000, 3773000, 3198000, 3199000, 3199000, 3198000, 3198000))	FALSE	FALSE	FALSE
1kmE3773N3199	3773000	3199000	list(c(3773000, 3773000, 3774000, 3774000, 3773000, 3199000, 3200000, 3200000, 3199000, 3199000))	FALSE	FALSE	FALSE
1kmE3773N3200	3773000	3200000	list(c(3773000, 3773000, 3774000, 3774000, 3773000, 3200000, 3201000, 3201000, 3200000, 3200000))	FALSE	FALSE	FALSE
