"soort";"buffer";"percentage";"aantal";"rang_percentage";"rang_aantal"
"heilige ibis";200;0,00534286539010938;31;23;35
"heilige ibis";300;0,00827014386537857;35;24;35
"heilige ibis";400;0,0112741168950582;40;26;35
"heilige ibis";500;0,0143135121416992;47;28;35
"lettersierschildpad";50;0,00254439487798587;200;14;11
"lettersierschildpad";75;0,00508426053610946;212;14;11
"lettersierschildpad";100;0,00814759485916329;221;14;12
"lettersierschildpad";125;0,0116098578003369;232;14;12
"lettersierschildpad";150;0,0153722050701986;245;14;11
"lettersierschildpad";200;0,0235385662411285;270;14;12
"lettersierschildpad";300;0,0413900363798428;314;13;12
"lettersierschildpad";400;0,0604053037114857;368;12;12
"lettersierschildpad";500;0,0801668542021391;414;12;12
"Aziatische hoornaar (soort)";50;0,00537980775707156;467;6;6
"Aziatische hoornaar (soort)";75;0,011478901085678;539;6;5
"Aziatische hoornaar (soort)";100;0,0193557766933453;617;6;5
"Aziatische hoornaar (soort)";125;0,0287577746003451;698;6;5
"Aziatische hoornaar (soort)";150;0,0395510686659782;772;6;5
"Aziatische hoornaar (soort)";200;0,0643566138117679;883;6;5
"Aziatische hoornaar (soort)";300;0,120648975870709;1113;5;4
"Aziatische hoornaar (soort)";400;0,179738033787538;1243;5;4
"Aziatische hoornaar (soort)";500;0,236495032364202;1403;5;4
"Aziatische boomwurger";50;0;0;65;45
"Aziatische boomwurger";75;1,14074820185369e-07;1;66;45
"Aziatische boomwurger";100;2,98902947481548e-06;1;66;44
"Aziatische boomwurger";125;8,32940085459032e-06;1;66;46
"Aziatische boomwurger";150;1,28095125377134e-05;1;65;46
"Aziatische boomwurger";200;2,03343673665189e-05;1;66;54
"Aziatische boomwurger";300;3,46059640960842e-05;1;67;52
"Aziatische boomwurger";400;5,02146691983852e-05;1;67;53
"Aziatische boomwurger";500;6,92193269093865e-05;1;68;58
"Afghaanse duizendknoop";50;8,3500528666101e-05;13;45;37
"Afghaanse duizendknoop";75;0,000170610844318984;17;45;35
"Afghaanse duizendknoop";100;0,000282854100351943;17;45;35
"Afghaanse duizendknoop";125;0,000416525099262021;19;46;36
"Afghaanse duizendknoop";150;0,000569681807733997;19;45;35
"Afghaanse duizendknoop";200;0,000930460345400483;19;45;39
"Afghaanse duizendknoop";300;0,00187483193366832;21;47;40
"Afghaanse duizendknoop";400;0,00303627546813906;26;47;38
"Afghaanse duizendknoop";500;0,00431635848599586;30;47;41
"watersla";50;7,14851643278281e-05;10;46;38
"watersla";75;0,000157049864136854;10;46;37
"watersla";100;0,000276746594340108;12;46;38
"watersla";125;0,000424342587931238;12;45;39
"watersla";150;0,00059697245188386;13;44;39
"watersla";200;0,00103434201114909;13;44;43
"watersla";300;0,00213473646978195;14;44;43
"watersla";400;0,00319928038889151;16;46;43
"watersla";500;0,00434966301973352;22;46;44
"Afrikaanse klauwkikker";50;0;0;65;45
"Afrikaanse klauwkikker";75;0;0;67;46
"Afrikaanse klauwkikker";100;0;0;67;45
"Afrikaanse klauwkikker";125;0;0;69;47
"Afrikaanse klauwkikker";150;0;0;69;47
"Afrikaanse klauwkikker";200;0;0;71;55
"Afrikaanse klauwkikker";300;0;0;72;53
"Afrikaanse klauwkikker";400;0;0;72;54
"Afrikaanse klauwkikker";500;0;0;74;59
"watercrassula";50;0,0040205773490266;120;9;14
"watercrassula";75;0,00734469613002159;132;9;13
"watercrassula";100;0,0110257190263227;141;9;14
"watercrassula";125;0,0148336399612188;151;9;14
"watercrassula";150;0,0186676077926576;159;10;13
"watercrassula";200;0,0264504921991664;178;11;14
"watercrassula";300;0,042045102680838;203;12;14
"watercrassula";400;0,0579145310127304;227;13;16
"watercrassula";500;0,073813575521338;254;13;16
"invasieve duizendknopen";50;0,00784452438979328;600;5;4
"invasieve duizendknopen";75;0,0157293443991654;680;5;4
"invasieve duizendknopen";100;0,0255597031933091;742;5;4
"invasieve duizendknopen";125;0,0369491193070627;790;5;4
"invasieve duizendknopen";150;0,0496017887743554;838;4;4
"invasieve duizendknopen";200;0,0780214793675395;917;4;4
"invasieve duizendknopen";300;0,143337700552234;1091;4;5
"invasieve duizendknopen";400;0,214245782223267;1228;4;5
"invasieve duizendknopen";500;0,284092917275291;1361;4;5
"Canadese gans";50;0,0564729756373705;758;2;3
"Canadese gans";75;0,0875066312760179;815;2;3
"Canadese gans";100;0,116510729226303;879;2;3
"Canadese gans";125;0,14382429426058;923;2;3
"Canadese gans";150;0,169677258083733;982;3;3
"Canadese gans";200;0,217716803849121;1091;3;3
"Canadese gans";300;0,303382670288;1272;3;3
"Canadese gans";400;0,378541533872783;1422;3;3
"Canadese gans";500;0,445679806670337;1563;3;3
"Amerikaanse nerts";50;2,37275783618698e-05;6;53;40
"Amerikaanse nerts";75;5,18216525246982e-05;6;53;40
"Amerikaanse nerts";100;9,16563420493207e-05;6;53;40
"Amerikaanse nerts";125;0,000142310438639194;6;54;43
"Amerikaanse nerts";150;0,00020512935536836;6;54;42
"Amerikaanse nerts";200;0,000382915072990365;7;52;48
"Amerikaanse nerts";300;0,000893047948238443;10;50;45
"Amerikaanse nerts";400;0,00150384570822812;11;50;46
"Amerikaanse nerts";500;0,00222600655783998;12;50;49
"Noord-Aziatische modderkruiper";50;0;0;65;45
"Noord-Aziatische modderkruiper";75;5,23099379221512e-07;1;65;45
"Noord-Aziatische modderkruiper";100;3,79947582329911e-06;1;65;44
"Noord-Aziatische modderkruiper";125;8,46927182601851e-06;1;65;46
"Noord-Aziatische modderkruiper";150;1,67922537202023e-05;2;64;45
"Noord-Aziatische modderkruiper";200;4,6355533722646e-05;2;64;53
"Noord-Aziatische modderkruiper";300;0,000124586986347239;2;63;51
"Noord-Aziatische modderkruiper";400;0,000169970265975478;2;65;52
"Noord-Aziatische modderkruiper";500;0,000189284995139025;2;66;57
"gestreepte Amerikaanse rivierkreeft";50;3,57960977611633e-05;3;51;42
"gestreepte Amerikaanse rivierkreeft";75;7,92710375945948e-05;4;51;42
"gestreepte Amerikaanse rivierkreeft";100;0,000131714401124134;4;51;41
"gestreepte Amerikaanse rivierkreeft";125;0,000192066042739687;4;51;44
"gestreepte Amerikaanse rivierkreeft";150;0,000254460346883926;5;51;43
"gestreepte Amerikaanse rivierkreeft";200;0,000375813395933791;8;53;47
"gestreepte Amerikaanse rivierkreeft";300;0,000729452973910857;10;53;45
"gestreepte Amerikaanse rivierkreeft";400;0,00129304502309142;11;52;46
"gestreepte Amerikaanse rivierkreeft";500;0,00200561376813194;14;51;47
"moerasanemoon";50;1,65278414101077e-05;4;56;41
"moerasanemoon";75;3,34158669354249e-05;5;58;41
